time,altitude,airspeed,rpm
0,1000.8,58.1,2074
5,1009.6,58,2046
10,1021.7,57.9,2037
15,1029.5,58.1,2063
20,1041.4,58.3,2073
25,1053.5,58.8,2076
30,1064.6,59.5,2090
35,1076.3,59.8,2081
40,1085.2,60.1,2092
45,1097.5,61,2113
50,1106.2,61,2128
55,1119.8,62,2130
60,1130.8,61.5,2143
65,1142.3,62.4,2141
70,1155,62.4,2165
75,1168.5,63.5,2164
80,1181.9,63.5,2180
85,1196.4,63.9,2196
90,1204.5,64.8,2201
95,1219.1,64.5,2199
100,1232.6,65.3,2221
105,1246,65.4,2220
110,1260.8,65.7,2225
115,1272.6,66.6,2249
120,1287.9,67.1,2252
125,1299.9,67.1,2278
130,1312.6,68,2284
135,1326.5,68.1,2267
140,1341.1,68.5,2289
145,1353.8,68.9,2309
150,1369.9,69.5,2327
155,1383.2,70.3,2326
160,1397.8,70.2,2344
165,1412.8,70.7,2366
170,1429.5,71.5,2351
175,1444.2,71.7,2362
180,1459.1,72.4,2381
185,1474.2,72.8,2395
190,1492.8,72.8,2415
195,1507.3,74.1,2418
200,1522.2,74.2,2425
205,1537.5,74.2,2433
210,1554.3,74.9,2437
215,1567.9,75.3,2435
220,1586.1,74.9,2452
225,1596.3,74.8,2447
230,1609.7,75.5,2451
235,1627.8,75.7,2456
240,1641.8,75.4,2465
245,1656.5,76.2,2439
250,1667.8,75.5,2436
255,1681,75.7,2450
260,1699.8,76.2,2476
265,1710,76.7,2458
270,1725.6,76.2,2466
275,1741.6,76.1,2488
280,1754.2,76.2,2469
285,1767.2,77,2473
290,1777.1,77.4,2468
295,1795.1,77,2475
300,1808.1,76.8,2492
305,1821.7,77.4,2480
310,1837.1,77.5,2460
315,1847.2,77.3,2477
320,1861.2,77.8,2489
325,1873.8,78.2,2497
330,1886.3,77.9,2484
335,1898,77.6,2484
340,1914.6,78.2,2505
345,1924,78,2504
350,1939.8,78.5,2489
355,1953.6,78.3,2500
360,1961.1,78.8,2515
365,1977.2,79.1,2495
370,1988.6,78.7,2504
375,2000.8,79.2,2507
380,2014.3,79.2,2504
385,2025.2,79.5,2526
390,2038.7,79,2497
395,2049.5,79.9,2542
400,2065,79.5,2503
405,2072.5,79.4,2520
410,2086.5,84.4,2533
415,2097.3,80.2,2523
420,2111.1,80.5,2533
425,2118,79.7,2520
430,2132.5,80,2542
435,2145.1,81,2520
440,2153,81.6,2511
445,2165.2,81.4,2516
450,2178.9,80.6,2526
455,2179.8,80.6,2528
460,2176.9,80.9,2556
465,2175.9,80.9,2523
470,2178.6,80.8,2533
475,2175.1,81,2540
480,2179.3,81.7,2547
485,2178.9,81.1,2547
490,2177.8,81.4,2524
495,2177.8,80.9,2532
500,2180.5,81.4,2538
505,2180.5,81.4,2538
510,2181.5,82.3,2517
515,2181.4,81.7,2539
520,2175.6,82.1,2505
525,2180.3,81.2,2524
530,2176.7,81.8,2514
535,2179.3,81.4,2510
540,2178.9,82,2479
545,2181.1,81.5,2502
550,2181.1,81.7,2492
555,2167.3,82,2502
560,2154.4,82.4,2555
565,2143.9,82.4,2482
570,2135.3,82.5,2473
575,2122.2,82.7,2464
580,2108.4,83.8,2470
585,2098.7,83.6,2445
590,2086.7,83,2465
595,2076.6,84.1,2440
600,2063.3,84.7,2454
605,2049.8,84.2,2463
610,2038.1,84.8,2459
615,2026.5,85,2460
620,2014.5,85.2,2446
625,2000.6,85.6,2429
630,1969.8,85.6,2417
635,1975.2,85.9,2412
640,1963.8,86.2,2410
645,1950.8,86.8,2399
650,1936.3,86.7,2397
655,1939.7,86.8,2416
660,1943,86.6,2417
665,1947.2,86.8,2416
670,1950.4,86.6,2409
675,1947,86.7,2412
680,1954.3,86.5,2414
685,1954.2,87.1,2411
690,1957.7,86.2,2420
695,1960.5,86.3,2406
700,1963.8,86.2,2428
705,1965.6,86.4,2400
710,1967.8,85.5,2423
715,1971.6,85.4,2426
720,1973.2,86.2,2426
725,1976.7,85.4,2427
730,1979.4,85.5,2433
735,1977.3,85,2423
740,1982.6,85.4,2415
745,1986.6,85.5,2432
